Index,SMILES
D136,OC[C@H]1CN(Cc2c[nH]c3c2nc[nH]c3=O)C[C@@H]1O
D137,NS(=O)(=O)c1ccc(NC(=O)C2CN(C(=O)C2)c2ccccc2Br)cc1
D138,OC[C@@H](O)[C@@H](CO)NCc1c[nH]c2c1nc[nH]c2=O
D139,C[C@H]1CCCCN1C(=O)c1nc(sc1-c1ccc(c(Cl)c1Cl)C(O)(C(F)(F)F)C(F)(F)F)C(=O)NCC(C)(C)c1noc(=O)[nH]1
D140,CC(C)(O)c1cn2c(cnc2cc1CO)-c1cccc(N[C@H]2CNC[C@@H]2F)n1
D141,FC(F)c1ccc2ncc(-c3cccc(N[C@H]4CNC[C@@H]4C(F)(F)F)n3)n2c1
D142,CC1(C)NCCC1Nc1cccc(n1)-c1cnc2ccc(cn12)C(F)F
D143,CC1(F)CN(C1)c1ccc2nccc(C(=O)NCC(=O)N3CSC[C@H]3C#N)c2c1
D144,O=C(CNC(=O)c1ccnc2ccc(cc12)N1C2CCC1COC2)N1CSC[C@H]1C#N
D145,CC1CC2(C1)CN(C2)c1ccc2nccc(C(=O)NCC(=O)N3CSC[C@H]3C#N)c2c1
D146,COC(=O)C1CN(C(=O)C1)c1cc(C)c(cc1C)S(N)(=O)=O
D147,NC(=O)c1cc(c(Cl)cc1SCc1ccccc1)S(N)(=O)=O
D148,NS(=O)(=O)c1cc(C(=O)NCCO)c(SCCc2ccccc2)cc1Br
D149,COC(=O)C[C@@H]1N=C(c2c(C)c(sc2-n2c(C)nnc12)C(=O)NCCOCCOCCNC(=O)C[C@@H]1N=C(c2c(C)c(C)sc2-n2c(C)nnc12)c1ccc(Cl)cc1)c1ccc(Cl)cc1
D150,COc1cccc(F)c1CN1C[C@@H](C)C[C@H](C1)NC(=O)c1ccc2[nH]nc(-c3ccc4nccn4c3)c2c1
D151,CC(C)N(CCCNC(=O)Nc1ccc(cc1)C(C)(C)C)C[C@H]1OC(C(O)[C@@H]1O)n1ccc2c(N)ncnc12
D152,Cc1c(ccn2c(nnc12)C(F)(F)F)[C@@H](CC(O)=O)c1ccc(Cl)c(CN2CC3(COC3)Oc3ncccc3S2(=O)=O)c1
D153,Cn1cc(cn1)-c1cn2c(cnc2cc1CO)-c1cccc(NC2CCNC2)n1
D154,FC(F)c1ccc2ncc(-c3cccc(NC4CCC5(CNC5)C4)n3)n2c1
D155,FC1(CCN(CC1)c1ccc2nccc(C(=O)NCC(=O)N3CSC[C@H]3C#N)c2c1)c1ccccc1
D156,O=C(CNC(=O)c1ccnc2ccc(cc12)N1CCC2(COC2)CC1)N1CSC[C@H]1C#N
D157,Cc1cc(O)c2c(O)cccc2c1-c1cc(O)cc(=O)o1
D158,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)CNC(=O)c1ccccc1)C(C)C)C(=O)N[C@@H](CCCCNC(=O)C[C@H](Sc1ccc2ccccc2c1)C(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)NCC(=O)N[C@@H](C(C)C)C(N)=O
D159,C[C@H]1CN(Cc2cccc(c2)-c2cc(CNC(=O)c3cccc(CC4CCNCC4)c3)ccc2F)CCN1
D160,Cc1cn2c(cnc2c(Nc2cc(ns2)C(NC(C)(C)C)c2ccccn2)n1)-c1cn[nH]c1
D161,Cc1cn2c(cnc2c(Nc2cc(Cc3ccccn3)ns2)n1)-c1cn[nH]c1
D162,COC(=O)CCCNC(=O)c1cc(c(Cl)cc1SCc1ccccc1)S(N)(=O)=O
D163,NS(=O)(=O)c1cc(C(=O)NCCCO)c(cc1Cl)S(=O)(=O)C1CCCCC1
D164,COCCNC(=O)c1cc(c(Cl)cc1S(=O)(=O)c1ccccc1)S(N)(=O)=O
D165,NS(=O)(=O)c1cc(C(=O)NC2CCCCC2)c(SC2CCCCC2)cc1Cl
D166,NS(=O)(=O)c1cc(C(=O)NCc2ccccc2)c(cc1Cl)S(=O)(=O)C1CCCCC1
D167,NS(=O)(=O)c1cc(C(O)=O)c(SC2CCCCC2)cc1Cl
D168,Cc1c(c(COc2ccc(B(O)O)c(C=O)c2)nn1C)-c1cccc2c(CCCOc3cccc4ccccc34)c(C(O)=O)n(C)c12
D169,COc1cc2ncc(-c3cccc(NC4CCNC4)n3)n2cc1-c1cnn(C)c1
D170,Nc1nc2n(cnc2c(=O)[nH]1)[C@@H]1O[C@@H]2COP(O)(=O)O[C@@H]3[C@@H](COP(O)(=O)O[C@@H]1[C@@H]2O)O[C@H]([C@@H]3O)n1cnc2c(N)ncnc12
D171,FC(F)Oc1ccc2ncc(-c3cccc(N[C@H]4CNC[C@@H]4F)n3)n2c1
D172,F[C@H]1CNC[C@@H]1Nc1cccc(n1)-c1cnc2ccc(cn12)-c1cnn(c1)C1CC1
D173,CC1(CS(C)(=O)=O)CN(C1)c1ccc2nccc(C(=O)NCC(=O)N3CSC[C@H]3C#N)c2c1
D174,CO[C@H]1CCN(C1)c1ccc2nccc(C(=O)NCC(=O)N3CSC[C@H]3C#N)c2c1
D175,C[C@H](NP(O)(=O)CCCCc1ccccc1)C(=O)N1CCC[C@H]1C(O)=O
D176,NS(=O)(=O)c1cc(C(=O)NCCO)c(NC2CCCCC2)cc1Cl
D177,CCCCNC(=O)c1cc(c(Cl)cc1NC1CCCCC1)S(N)(=O)=O
D178,Cc1cc(N2CC(CC2=O)C(=O)N\N=C\c2ccc(cc2)[N+]([O-])=O)c(Cl)c(C)c1S(N)(=O)=O
D179,Cc1cc(C)n(NC(=O)C2CN(C(=O)C2)c2cc(C)c(c(C)c2Cl)S(N)(=O)=O)n1
D180,NS(=O)(=O)c1ccc(cc1)N1CC(CC1=O)C(=O)N\N=C\c1ccccc1
D181,Cc1cc(c(C)cc1N1CC(CC1=O)C(=O)N\N=C\c1ccc(cc1)[N+]([O-])=O)S(N)(=O)=O
D182,Cc1cc(c(C)cc1N1CC(CC1=O)C(=O)N\N=C\c1ccccc1)S(N)(=O)=O
D183,Nc1ncnc2c(c[nH]c12)C1NC(CSCc2ccccc2)C(O)C1O
D184,Cn1cc(cn1)-c1ccc2ncc(-c3cccc(N[C@H]4CNC[C@@H]4F)n3)n2c1
D185,O=C(CNC(=O)c1ccnc2ccc(cc12)N1CCOCC1)N1CSC[C@H]1C#N
D186,Cc1ccn(c1)-c1ccc2nccc(C(=O)NCC(=O)N3CSC[C@H]3C#N)c2c1
D187,NS(=O)(=O)c1ccc(NC(=O)C2CN(C(=O)C2)c2ccccc2)cc1
D188,NS(=O)(=O)c1ccc(NC(=O)C2CN(C(=O)C2)c2cccc(Br)c2)cc1
D189,CC1(CN(C1)c1ccc2nccc(C(=O)NCC(=O)N3CSC[C@H]3C#N)c2c1)C(F)F
D190,CCC1(C)CN(C1)c1ccc2nccc(C(=O)NCC(=O)N3CSC[C@H]3C#N)c2c1
D191,CCOC1(C)CN(C1)c1ccc2nccc(C(=O)NCC(=O)N3CSC[C@H]3C#N)c2c1
D192,NCCCCC(NC(=O)C(CCCNC(N)=N)NC(=O)C(CCCNC(N)=N)NC(=O)C(CCCNC(N)=N)NC(=O)C(CCCNC(N)=N)NC(=O)C(CCCNC(N)=N)NC(=O)C(CCCNC(N)=N)NC(=O)CCCCCNC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)CCCCCNC(=O)c1ccc([se]1)-c1ccnc(N)n1)C(N)=O
D193,COc1cc2ncc(-c3cccc(NC4CCNC4)n3)n2cc1-c1cccnc1
D194,CC1(C)CN(C(=O)O1)c1ccc2nccc(C(=O)NCC(=O)N3CSC[C@H]3C#N)c2c1
D195,O=C(CNC(=O)c1ccnc2ccc(cc12)N1CC2CC(C1)O2)N1CSC[C@H]1C#N
D196,COCCNC(=O)c1cc(c(Cl)cc1NC1CCCCC1)S(N)(=O)=O
D197,CNc1cc(OC)c(cc1Cl)C(=O)N[C@@H]1CCN(Cc2ccccc2)[C@@H]1C
D198,CCCN[C@H]1CCc2nc(N)sc2C1
D199,OC(=O)C(F)(F)F.OC(=O)C(F)(F)F.CCCCCNC(=O)\N=C(/N)NCCCc1nnc(N)s1
D200,OC(=O)C(F)(F)F.OC(=O)C(F)(F)F.CCCCCNC(=O)\N=C(/N)NCCCc1cnc(N)s1
D201,OC(=O)C(F)(F)F.OC(=O)C(F)(F)F.CCCCCCNC(=O)\N=C(/N)NCCCc1nnc(N)s1
D202,OC(=O)C(F)(F)F.OC(=O)C(F)(F)F.CC(CNC(=O)\N=C(/N)NCCCc1nnc(N)s1)C1CCCCC1
D203,OC(=O)C(F)(F)F.OC(=O)C(F)(F)F.N\C(NCCCc1nnc(N)s1)=N/C(=O)NCc1ccccc1
D204,OC(=O)C(F)(F)F.OC(=O)C(F)(F)F.N\C(NCCCc1cnc(N)s1)=N/C(=O)NCc1ccccc1
D205,Cl.Cl.C[C@@H](NC(=O)\N=C(/N)NCCCc1nnc(N)s1)c1ccccc1
D206,Cl.Cl.C[C@@H](NC(=O)\N=C(/N)NCCCc1ncn[nH]1)c1ccccc1
